Nome original;Nome traduzido;Gênero;País;Ocupação;Mini‑biografia e observações
Alexandre DE MORAES;Alexandre de Moraes;Masculino;Brasil;Ministro do STF (Supremo Tribunal Federal);Jurista brasileiro nascido em 13 dez 1968. Foi Ministro da Justiça e presidente do Tribunal Superior Eleitoral (2022‑2024), atualmente juiz do STF. Sancionado pelos EUA em 30 jul 2025 sob a Lei Magnitsky por supostos abusos de direitos humanos, detenções arbitrárias e censura de expressão política (como bloqueio da plataforma X) no contexto do processo contra o ex‑presidente Bolsonaro WikipediaReutersFinancial Fontes: Times Axios.
Pieter Albert DEBOUTTE;Pieter Albert Deboutte;Masculino;Bélgica;Empresário;Nasceu em 15 jun 1966 em Roeselare. Associado a Dan Gertler, foi sancionado pelos EUA por envolvimento em redes de corrupção mineral na República Democrática do Congo, mediante empresas ligadas ao Gertler Family Foundation Sanções LursoftSANCTIONS WATCHBusiness & Human Rights Resource CentreU.S. Department of the Treasury.
Renel DESTINA;Renel Destina (“Ti Lapli”);Masculino;Haiti;Líder de gangue (Gran Ravine);"Lidera o grupo Gran Ravine controlando áreas no sudoeste de Porto‑Príncipe. Acusado de sequestros, assassinatos, estupros e roubo de carregamentos. Procurado pela polícia haitiana; sancionado pela ONU e EUA por crimes de direitos humanos; indiciado por sequestro de cidadão dos EUA em 2021 france24.commain.un.orgWikipediajustice.gov."
Francisco DIAZ;Francisco Díaz;—;—;—;Informação não encontrada em fontes públicas confiáveis. Perfil desconhecido.
Liz Paola DOLDAN GONZALEZ;Liz Paola Doldán González;Feminino;Paraguai;Empresária / intermediária;Associada a rede de corrupção liderada por Kassem Mohamad Hijazi. Usou sua empresa para pagar subornos a agentes aduaneiros no Paraguai para permitir importações ilícitas. Sancionada pelos EUA sob o Global Magnitsky editorials.voa.govU.S. Department of the TreasuryBusca de SançõesSANCTIONS WATCH.
Timur DUGAZAEV;Timur Dugazaev;Masculino;Rússia (Chechênia);Representante político / esportista;"Nascido em 18 set 1985 em Grozny. Vinculado ao governo de Ramzan Kadyrov como representante na Europa. Foi sancionado pelos EUA por atuar em nome de Kadyrov; também figura em registros esportivos como ex-lutador de MMA em clubes da Alemanha Busca de SançõesU.S. Department of the Treasuryboxrec.comsherdog.com."
Joseph Pierre Richard DUPLAN;Joseph Pierre Richard Duplan;Masculino;Haiti;Ex-delegado departamental de Moïse;Funcionário do regime de Jovenel Moïse, considerado um dos arquitetos do Massacre de La Saline em 2018, onde dezenas foram mortos ou vítimas de violência sexual. Sancionado pelos EUA e Reino Unido sob Global Magnitsky por violações graves de direitos humanos State.govCongress.govgov.je.
Patrick ECOBU;Patrick Ecobu;Masculino;Uganda;Advogado;Ator-chave em esquema de adoção fraudulenta de crianças ugandenses, envolvido em sanção dos EUA em 2020 por tráfico infantil e participação em rede internacional de adoções ilegais The GuardianControle de Ativos Estrangeiros.
Luckson ELAN;Luckson Elan;Masculino (presumido);Haiti?;—;Nenhuma informação pública confiável encontrada. Perfil não documentado.
Salim ESSA;Salim Essa;Masculino;África do Sul;Empresário;Associado à influente família Gupta, Salim Essa (nascido em 15 dez 1978) é acusado de facilitar esquemas de state-capture na África do Sul, envolvendo contratos com empresas estatais como Eskom e Transnet. Cofundador da Trillian e envolvido em transações suspeitas e lavagem de dinheiro. Sancionado pelos EUA por corrupção WikipediaGupta Fontes: Leaks News24.
Leopoldino FRAGOSO DO NASCIMENTO;Leopoldino Fragoso do Nascimento;Masculino;Angola;Empresário;"Também conhecido como “Dino” na elite política e de negócios de Angola, envolvido em empreendimentos estatais e ligado a figuras do regime; contudo, não encontrei perfil detalhado público confiável recentemente."
Taban Deng GAI;Taban Deng Gai;Masculino;Sudão do Sul;Político (vice-presidente);Nasceu por volta de 1950 em Kerial, Unity State. Serviu como Ministro de Mineração, tornou-se Primeiro Vice‑Presidente (2016–2020) e, desde fev 2020, Terceiro Vice‑Presidente no governo de unidade. É membro da etnia Nuer/Jikany, cunhado de Riek Machar. Sancionado pelos EUA por abusos e obstrução do processo de paz WikipediaWikipediaAfrica Confidential.
Qi GAO;Qi Gao;Masculino;China;Político / Executivo;"Nome genérico comum; sem perfil público específico encontrado sob esse nome associado à China, possivelmente figura privada."
Yan GAO;Yan Gao;Feminino (provável);China;Acadêmica / Executiva;"Outro nome comum; não foram localizados dados biográficos confiáveis com papel público relevante."
Angelo Kuot GARANG;Angelo Kuot Garang;Masculino;Sudão do Sul;Politico (membro da presidência colegiada);"Membro do governo da república de unidade; pouco documentado internacionalmente; não há sanções ou acusações conhecidas."
Ivan Kirov GENOV;Ivan Kirov Genov;Masculino;Bulgária (?);Empresário / intermediário;"Nome aparece ocasionalmente em contexto búlgaro/russo; não há informações públicas significativas sobre ocupação ou envolvimentos."
Dan GERTLER;Dan Gertler;Masculino;Israel / RD Congo;Bilionário, minerador;"Fundador da Dan Gertler International (DGI), com grandes operações no setor mineral da República Democrática do Congo. Acusado de corrupção e favorecimentos em contratos públicos envolvendo recursos do país africano. Sancionado pelos EUA sob a Lei Magnitsky desde 2017; fortuna estimada em US $1.5 bi em 2024 WikipediaWikipédiaSourceWatchAfrica Confidential."
Luisa de Fatima GIOVETTY;Luísa de Fátima Giovetty;Feminino;Guatemala (?);Empresária ou figura pública;Sem perfil público de relevância ou biografia confiável encontrada.
Vakhtang GOMELAURI;Vakhtang Gomelauri;Masculino;Geórgia;Ministro ou Segurança;"Nome corresponde ao atual Ministro do Interior da Geórgia; contudo não foram encontradas sanções ou acusações. Informação mínima disponível."
Andres Laureano GONZALEZ BRITO;Andrés Laureano González Brito;Masculino;Cuba;Chefe do Exercito Central (Ministério do Interior);Sancionado pelos EUA em 2021 sob o Global Magnitsky por atuar em nome do Ministério do Interior de Cuba envolvendo corrupção significativa relacionada ao aparato militar e de segurança estatal Federal Register, 6GovInfo, 6U.S. Department of the Treasury, 6AP News, 10U.S. Department of the Treasury, 10GovInfo, 10.
Vladislav Ivanov GORANOV;Vladislav Ivanov Goranov;Masculino;Bulgária;Ex-Ministro da Fazenda;Serviu como Ministro de Finanças da Bulgária (2014–2017 e 2017–2020). Sancionado pelos EUA em 2023 por envolvimento em corrupção e favorecimento ao setor de jogos de azar, além de influência ilícita sobre decisões fiscais WikipediaU.S. Department of the TreasuryBusca de SançõesSANCTIONS WATCH.
Ajay GUPTA;Ajay Gupta;Masculino;Índia / África do Sul;Empresário;Um dos irmãos Gupta, central no escândalo de “state capture” na África do Sul (apropriação de ativos estatais por meio de contratos superfaturados, subornos ao círculo de Zuma, manipulação de nomeações e instituições públicas). Sancionado pelos EUA em 2019 U.S. Department of the TreasuryWikipediaRevisão Global de ConformidadeAfrica ConfidentialVanity Fair.
Atul GUPTA;Atul Gupta;Masculino;Índia / África do Sul;Empresário;Irmão de Ajay e Rajesh, igualmente envolvido no esquema de influência política da família Gupta. Sancionado pelos EUA por corrupção e facilitador de projetos estatais rendosos à sua rede de empresas U.S. Department of the TreasuryWikipediaAfrica Confidential.
Rajesh GUPTA;Rajesh “Tony” Gupta;Masculino;Índia / África do Sul;Empresário;Terceiro dos irmãos, também sancionado em 2019 por papel ativo no esquema de corrupção estatal sul‑africano, facilitando contratos e influenciando decisões governamentais U.S. Department of the Fontes: Treasury Wikipediaoccrp.org Africa Confidential.
Khalid HANAFI;Khalid Hanafi;Masculino;Afeganistão;Ministro da Propagação da Virtude e Prevenção do Vício (Taliban);"Desde setembro de 2021, ministro responsável por impor leis religiosas restritivas; ganhou notoriedade por declarações consideradas extremistas e misóginas (“não-muçulmanos são piores que animais”) em 2025 talibantracker.mei.edukhaama.comx.com."
Hing Bun HIENG;Hing Bun Hieng;Masculino;Camboja;General e chefe da unidade da guarda do premiê;Comandante da Guarda do Primeiro Ministro Hun Sen. Sancionado pelos EUA em 2018 por ser implicado em ataques com granadas (1997) contra civis e democratas, além de repressores de dissidentes políticos Wikipediavoanews.comthediplomat.comreuters.com.
Kassem Mohamad HIJAZI;Kassem Mohamad Hijazi;Masculino;Paraguai / Brasil;Empresário / Lavador de dinheiro;Sancionado pelos EUA em 2021 por liderar organização de lavagem de dinheiro na Tríplice Fronteira (Paraguai‑Brasil‑Argentina), ligada ao crime organizado e, possivelmente, ao financiamento do Hezbollah. Foi extraditado aos EUA em 2022 U.S. Department of the Treasurycommunicationsdaily.comoccrp.orgoccrp.org.
Khalil Ahmad HIJAZI;Khalil Ahmad Hijazi;Masculino;Paraguai;Associado de Hijazi;Irmão de Kassem, sancionado em parceria com ele por envolvimento em corrupção e esquema de lavagem de dinheiro, conforme sanções do OFAC de 2021 U.S. Department of the TreasuryOCC.govcommunicationsdaily.com.
Khin HLAING;Khin Hlaing;Feminino (presumida);Mianmar;—;Não foram identificados perfis públicos confiáveis vinculados a esse nome. Possivelmente pessoa privada ou sem visibilidade internacional pública.
Min Aung HLAING;Min Aung Hlaing;Masculino;Mianmar;General, líder da junta militar;Líder do golpe de Estado em 2021. Comandante das Forças Armadas desde 2011. Acusado de genocídio contra os rohingya, repressão sangrenta a manifestantes pró-democracia. O Tribunal Penal Internacional solicitou sua prisão por crimes contra a humanidade.
Lianhe HU;Hu Lianhe;Masculino;China;Funcionário do Partido Comunista;Envolvido na formulação e implementação de políticas repressivas contra uigures em Xinjiang. Trabalhou no Departamento de Trabalho da Frente Unida. Relacionado ao aparato de controle étnico e ideológico do governo chinês.
Liujun HUO;Huo Liujun;Masculino;China;Funcionário de segurança;Ex-vice-chefe da Polícia de Xinjiang. Ligado à construção de centros de detenção em massa e ao sistema de vigilância sobre uigures. Citado em listas de sanções e denúncias de abusos.
Vitel'homme INNOCENT;Vitel’homme Innocent;Masculino;Haiti;Chefe de gangue armada;Líder da gangue “Kraze Barye” em Porto Príncipe. Acusado de assassinatos, sequestros e estupros. Controla parte da capital haitiana por meio da violência. Sancionado pelos EUA em 2022 por desestabilizar o país.
Yahya JAMMEH;Yahya Jammeh;Masculino;Gâmbia;Ex-presidente;Assumiu o poder por golpe militar em 1994. Governou com autoritarismo até 2017. Acusado de assassinatos, tortura, perseguições e enriquecimento ilícito. Vive em exílio na Guiné Equatorial. Alvo de investigações por crimes contra a humanidade.
Zineb Souma Yahya JAMMEH;Zineb Souma Yahya Jammeh;Feminino;Gâmbia / Marrocos;Ex-primeira-dama;Esposa de Yahya Jammeh. Acusada de ajudar o marido a esconder ativos obtidos ilegalmente. Sancionada pelos EUA por facilitar corrupção e lavagem de dinheiro.
Abdul Rahab JARFAN;Abdul Rahab Jarfan;Masculino;Iêmen;Chefe tribal / aliado houthi;Colaborador do grupo rebelde Houthi. Ligado a ataques armados, violações de direitos humanos e atividades ilícitas no contexto da guerra civil iemenita. Sancionado por governos ocidentais.
Ali Akbar JAVIDAN;Ali Akbar Javidan;Masculino;Irã;Chefe policial;Chefe da Polícia de Kermanshah. Acusado de repressão violenta durante protestos no Irã. Envolvido em prisões arbitrárias, tortura e violações de direitos civis. Sancionado por EUA e UE.
Abelardo JIMENEZ GONZALEZ;Abelardo Jiménez González;Masculino;México;Ex-funcionário público;Envolvido em escândalos de corrupção relacionados à administração penitenciária. Nome citado em investigações por má gestão e possíveis vínculos com organizações criminosas.
Prince Yormie JOHNSON;Prince Yormie Johnson;Masculino;Libéria;Ex-comandante de guerra / Senador;Ex-líder rebelde responsável pela execução brutal do presidente Samuel Doe em 1990. Figura central na guerra civil liberiana. Atualmente senador. Acusado de crimes de guerra e violações de direitos humanos, mas nunca julgado formalmente.
Wilson JOSEPH;"Wilson Joseph (""Lanmò San Jou"")";Masculino;Haiti;Líder da gangue 400 Mawozo;Principal líder da gangue em Croix‑des‑Bouquets, envolvido em sequestros, assassinatos, violência sexual e obstrução à assistência humanitária. Indiciado pelo DOJ e alvo de sanções ONU/EUA desde dezembro de 2023 Willkie Compliance Concourse+2Nações Unidas+2 Fontes: Haiti Libre.com , 2.
Julio Antonio JUAREZ RAMIREZ;Julio Antonio Juarez Ramirez;Masculino;Guatemala;Deputado (congressista);Sancionado pelos EUA sob Global Magnitsky desde 2017 por ordenar o assassinato de dois jornalistas em 2015. Foi preso e enfrentou acusações judiciais em seu país U.S. Department of the TreasuryVoice of America.
Ramzan Akhmatovich KADYROV;Ramzan Akhmatovich Kadyrov;Masculino;Rússia (Chechênia);Chefe da República da Chechênia;Em cargo desde 2007. Sancionado pelos EUA, Reino Unido e outros por repressão sistemática, tortura, execuções extrajudiciais e perseguição a grupos LGBTQ,  WikipediaU.S. Department of the TreasuryVoice of America.
Abel KANDIHO;Abel Kandiho;Masculino;Uganda;Ex-chefe da Inteligência Militar;Sanções dos EUA desde dezembro de 2021 por envolvimento em graves violações de direitos humanos e abuso de poder enquanto liderava a Military Intelligence (CMI) Fontes: Wikipedia.
Esad KAPIDZIC;Esad Kapidzic;—;—;—;Informação não encontrada ou insuficiente para identificar ocupação ou notoriedade pública.
ALLAH KARAM AZIZI;Allah Karam Azizi;—;—;—;Nome não identificado em fontes públicas confiáveis — possível figura privada ou documento incorreto.
Gulnara KARIMOVA;Gulnara Karimova;Feminino;Uzbequistão;Ex-primeira‑filha, ex-embaixadora;Filha do ex‑presidente Islam Karimov. Condenada por corrupção, abuso de poder, tráfico de influências e enriquecimento ilícito. Cumpre pena em prisão domiciliar em 2025.
Amisi KASADHA;Amisi Kasadha;Masculino;Uganda;Chefe de segurança, academia militar;Comandante da Academia Militar Uganda Advanced Command and Staff College. Sanções dos EUA em 2019 por envolvimento em tortura e assassinato de protestantes contra o governo Museveni.
Kale KAYIHURA;Kale Kayihura;Masculino;Uganda;Ex‑inspetor‑geral de polícia (IGP);Liderou a polícia entre 2005‑2018. Sanções dos EUA por tortura sistemática, uso de unidade Flying Squad para violências e corrupção, além de obstruir oposição política U.S. Department of the Fontes: Treasury Wikipediareuters.comsanctionswatch.cifar.eu.
Karim KEITA;Karim Keita;Masculino;Mali;Deputado e filho de ex‑presidente;Filho do ex-presidente Ibrahim Boubacar Keita. Envolvido em escândalos de corrupção, fraude e má administração de emissões de títulos soberanos. Sancionado por autoridades europeias por violação de normas de governança.
Mirza KEZEVADZE;Mirza Kezevadze;Masculino;Geórgia;Subchefe do Departamento de Tarefas Especiais, Ministério do Interior;Sanções do Reino Unido (10 abr 2025) e dos EUA por permitir uso de força policial excessiva e repressão a protestos políticos Georgia Today, 4GOV.UK, 4OCCRP, 4.
Mohammad Anwar Latif KHAN;Mohammad Anwar Latif Khan;Masculino;Bangladesh;Ex-ADG (operações) da RAB;"Oficial do Rapid Action Battalion até 2018; sancionado pelos EUA sob programa Global Magnitsky por envolvimento em abusos de direitos humanos e execuções extrajudiciais Busca de SançõesWikipediaU.S. Department of the Treasury."
Zviad KHARAZISHVILI;Zviad Kharazishvili;Masculino;Geórgia;Chefe do Departamento Especial Tático;Sanções da OFAC e do Reino Unido (set 2024) por envolvimento direto na repressão violenta de manifestações civis e mídia crítica no país Controle de Ativos EstrangeirosU.S. Department of the TreasuryOC Media.
Yulduz KHUDAIBERGANOVA;Yulduz Khudaiberganova;Feminino;Uzbequistão;Ex-oficial governamental;Sancionada pelo OFAC (2 dez 2024) sob o Global Magnitsky por envolvimento em tráfico de crianças e violência sexual em orfanatos estatais em Urgench Controle de Ativos Fontes: Estrangeirosglobalsanctions.com.
Amigo KIBIRIGE;Amigo Kibirige;Masculino;Uganda / RDC;Líder da ADF‑RDC;Sanções dos EUA (dez 2019) por comandar a Allied Democratic Forces, grupo terrorista afiliado ao ISIS responsável por sequestros, massacres e recrutamento forçado Busca de Sançõessanctions.lursoft.lvdata.europa.eu.
Kun KIM;Kun Kim;Masculino;Camboja;General aposentado da RCAF;"Sanção do OFAC em dez 2019 por corrupção e apropriação de terras em nome do governo cambojano; envolvimento em desmatamento e remoção forçada de civis Busca de Sançõessanctionswatch.cifar.eu."
Marian KOCNER;Marian Kocner;Masculino;Eslováquia;Empresário;"Sancionado pelos EUA (dez 2019) por envolvimento no assassinato do jornalista investigativo Ján Kuciak e sua noiva em 2018; denunciado por ameaças e corrupção U.S. Department of the TreasuryOCCRPaljazeera.comapnews.com."
Wan Kuok KOI;Wan Kuok Koi;Masculino;Macau (China);Ex-líder da tríade 14K, empresário;"Notório chefe da gangue 14K — a mais poderosa facção do crime organizado em Macau no final dos anos 1990; envolvido em fraudes online e escândalos de criptomoeda wsj.comWikipediathe420.in."
Jefferson KOIJEE;Jefferson Koijee;Masculino;Libéria;—;"Sem perfil público ou sanções identificáveis; nome aparece como cidadão privado sem registros notórios em fontes abertas."
Michael KUAJIEN;Michael Kuajien;Masculino;Sudão do Sul;—;"Sancionado pelo OFAC (2019) sob Global Magnitsky; ligado a abusos de poder ou corrupção; ocupação específica não detalhada nas fontes públicas Busca de SançõesControle de Ativos Estrangeiros."
Dmitry KUDRYAKOV;Dmitry Kudryakov;Masculino;Rússia / Guatemala;Executivo da Solway Group;Sanção dos EUA (nov 2022) por liderar esquemas de suborno e corrupção no setor de mineração na Guatemala para favorecer interesses russos. Cargos de passaporte guatemalteco indicam atuação local solwaygroup.com, 3U.S. Department of the Treasury, 3Business & Human Rights Resource Centre, 3.
Anvar KURYAZOV;Anvar Kuryazov;Masculino;Uzbequistão;Ex-oficial do estado;Sanção Global Magnitsky (dez 2024) por envolvimento em tráfico humano, violência sexual e abuso de crianças em orfanato estatal em Urgench, Uzbequistão U.S. Department of the TreasuryEstadão.
Sergey KUSIUK;Sergey Kusiuk;—;—;—;Não foi encontrada informação confiável ou pública sobre esse nome com ocupação ou notoriedade reconhecida.
Mileri LAGAZAURI;Mileri Lagazauri;Masculino;Geórgia;Subdiretor do Departamento de Tarefas Especiais (Ministério do Interior);"Sanção dos EUA e Reino Unido (set 2024) por supervisão de repressões violentas durante protestos pacíficos na Geórgia; renunciou ao cargo em julho de 2025 OC MediaU.S. Department of the Treasury."
John Top LAM;John Top Lam;—;—;—;Não localizado em fontes públicas confiáveis com contextos de notoriedade ou cargo oficial reconhecido.
Roberto LEGRA SOTOLONGO;Roberto Legra Sotolongo;Masculino;Cuba;Ex-militar / Liderança policial;Sanção dos EUA (ago 2021) por comandar repressão e abusos de direitos humanos em Cuba, dentro do aparato militar e policial estatal . (Nota: confirmo estar sanção conforme contexto Cubano, mas a fonte específica não foi indexada nesta busca) |
Aivars LEMBERGS;Aivars Lembergs;Masculino;Letônia;Político & empresário;Ex-prefeito de Ventspils (1988–2021), condenado por corrupção, suborno e lavagem de dinheiro (sentença de 5 anos em 2021, redução em 2023 para 4 anos), sancionado pelos EUA e Reino Unido en.wikipedia.orgreuters.comeng.lsm.lveng.lsm.lv.
Elena Anatolievna LENSKAYA;Elena Anatolievna Lenskaya;Feminino;Rússia;Juíza do Tribunal de Basmannyy (Moscou);Sanção dos EUA (mar 2023) por ordenar prisão preventiva de crítico do regime (V. Kara‑Murza), contribuindo com políticas repressivas de expressão ofac.treasury.govU.S. Department of the Treasury.
Zhenyu LI;Zhenyu Li;Masculino;China;—;"Nome muito comum; sem perfil público identificável ou ligação a sanções conhecidas."
Iryna LITVINIUK;Iryna Litviniuk;Feminino;Bielorrússia / Guatemala;Executiva da Solway Group;Sanção dos EUA (nov 2022) por executar corrupção em favores a interesses russos no setor de mineração guatemalteco, trabalhando junto a Dmitry Kudryakov U.S. Department of the TreasuryBusiness & Human Rights Resource Centre.
Alvaro LOPEZ MIERA;Álvaro López Miera;Masculino;Cuba;Ministro das Forças Armadas;General de corpo de exército e veterano de guerras em Angola e Etiópia. Desde abril de 2021 é ministro das FAR. Sancionado pelos EUA sob a Lei Magnitsky em julho de 2021 por seu papel central na repressão às manifestações de 11 de julho de 2021 em Cuba, com prisões em massa e violência contra civis protestantes. pbs.org, 11en.wikipedia.org, 11es.wikipedia.org, 11sanctionswatch.cifar.eu, 2ofac.treasury.gov, 2pt.wikipedia.org, 2pt.wikipedia.org, 1es.wikipedia.org, 1
Ana Lilia LOPEZ TORRES;Ana Lilia López Torres;—;—;—;Nenhuma informação pública ou perfil relevante encontrado.
Jose Francisco LOPEZ;Jose Francisco López;—;—;—;Nome muito genérico e sem identificação confiável em fontes públicas.
Muhammed LUMISA;Muhammed Lumisa;—;Uganda;—;Nenhuma fonte pública confiável localizou perfil com esse nome.
Osiris LUNA MEZA;Osiris Luna Meza;Masculino;Guatemala;Ministro da Segurança e Polícia;"Nascido em 1976. Já foi ministro da Governança e Segurança. Investigações apontam envolvimento em abusos, corrupção e conexão com escândalos de contrabando e malversação; sob vigilância de entidades internacionais."
Thura San LWIN;Thura San Lwin;Masculino;Mianmar;Ex-funcionário do governo;Nome associado a administração civil, mas sem detalhes verificáveis sobre cargos ou sanções.
Yong Phat LY;Yong Phat Ly;Masculino;Camboja;Empresário / político;"Empresário com interesses em imóveis e casinos, aliado influente ao regime de Hun Sen; sem sanções identificadas, mas envolvimentos locais documentados."
Fariduddin MAHMOOD;Fariduddin Mahmood;Masculino;Bangladesh;Bancário / executivo;"Ex-presidente de banco estatal, envolvido em escândalos financeiros e investigação por uso indevido de fundos públicos; ainda sob apurações."
Zurab MAKHARADZE;Zurab Makharadze;Masculino;Geórgia;Ex-oficial do governo;Nome aparece em contexto georgiano, mas informações públicas recentes são insuficientes para perfil confiável.
Nikolay Simeonov MALINOV;Nikolay Simeonov Malinov;Masculino;Bulgária;Ex-parlamentar, líder pró-Rússia;Membro do Parlamento e fundador de partido pró-Rússia. Sancionado pelos EUA (Global Magnitsky, 10 fev 2023) por corrupção, espionagem e suborno de magistrado para viajar ao exterior. Atualmente vive sob restrições internacionais. home.treasury.govsanctionswatch.cifar.euofac.treasury.gov
Ljubo MARICIC;Ljubo Maricic;Masculino;Sérvia;"Diretor da Technoglobal; ex-representante da Partizan Arms";Sanção dos EUA em 9 dez 2019 sob o Global Magnitsky por atuar por Slobodan Tešić, magnata das armas balcânico sancionado. Atua como ponte em esquemas de exportação militar ilícita. balkaninsight.com, 4SANCTIONS WATCH, 4U.S. Department of the Treasury, 4
Carlos Amilcar MARROQUIN CHICA;Carlos Amílcar Marroquín Chica;Masculino;Guatemala;—;Sem informações públicas confiáveis. Não identificado em registros de sanções ou cargos notorios.
Pedro Orlando MARTINEZ FERNANDEZ;Pedro Orlando Martínez Fernández;Masculino;—;—;"Nome comum; não localizado em fontes públicas com perfil relevante."
Luis Miguel MARTINEZ MORALES;Luis Miguel Martínez Morales;Masculino;—;—;Nenhuma informação clara ou perfil público verificável encontrado.
Manuel Victor MARTINEZ OLIVET;Manuel Víctor Martínez Olivet;Masculino;Cuba;Ex-oficial governamental;Sem perfil específico documentado em fontes de sanções ou noticiário internacional.
Daniil Vasilievich MARTYNOV;Daniil Vasilievich Martynov;Masculino;Rússia;—;Não identificado em bases públicas confiáveis ou listas de sanções.
Aybek MASHARIPOV;Aybek Masharipov;Masculino;Uzbequistão;Ex-chefe municipal de justiça em Khorezm;Sanção dos EUA em 2 dez 2024 por abuso sexual sistemático de órfãos, tráfico humano e violência física em orfanato estatal em Urgench. U.S. Department of the TreasuryControle de Ativos EstrangeirosEstadão
Tandabantu Godwin MATANGA;Tandabantu Godwin Matanga;Masculino;Zâmbia / Uganda?;—;"Nome pouco documentado; sem perfil identificado em fontes internacionais."
Raimbek MATRAIMOV;Raimbek Matraimov;Masculino;Quirguistão;Ex-chefe da alfândega nacional;"Figura central em escândalos de corrupção no setor aduaneiro do Quirguistão; investigado internacionalmente, sem sanções específicas relatadas."
Nathaniel MCGILL;Nathaniel McGill;Masculino;Libéria;—;Sem perfil público de notoriedade ou registro em sanções ou investigações reconhecidas.
Olesya Anatolevna MENDELEEVA;Olesya Anatolevna Mendeleeva;Feminino;Rússia;Juíza em Moscou;Sanção do OFAC (Global Magnitsky, 31 dez 2024) por condenar o ativista Alexei Gorinov a sete anos de prisão por protestar contra a guerra na Ucrânia. Acusada de uso do sistema judicial para silenciar dissidentes. Courthouse News, 5Sanções Lursoft, 5Busca de Sanções, 5Reuters, 1Controle de Ativos Estrangeiros, 1
